DATE,O,H,L,C,SYM
20120130,114.99,115.04,113.42,113.77,CL
20120131,113.87,116.28,112.85,113.47,CL
20120201,113.37,114.48,112.1,112.6,CL
20120202,112.1,112.98,110.43,111.35,CL
20120203,111.6,113.02,111.0,112.83,CL
20120206,112.73,112.74,111.37,111.9,CL
20120207,112.12,114.12,110.83,113.4,CL
20120208,113.76,115.08,113.09,113.7,CL
20120209,114.09,115.17,113.65,114.83,CL
20120210,114.88,114.88,112.31,113.66,CL
20120213,114.32,115.99,114.08,115.9,CL
20120214,115.72,116.83,115.27,115.73,CL
20120215,115.89,117.53,115.6,116.79,CL
20120216,116.89,117.68,115.83,117.3,CL
20120217,117.34,119.13,117.24,118.23,CL
20120221,119.64,121.06,119.25,120.83,CL
20120222,120.59,121.3,120.19,120.86,CL
20120223,120.53,123.32,120.03,122.41,CL
20120224,123.24,124.53,122.53,124.35,CL
20120227,124.25,124.35,121.85,123.14,CL
20120228,122.53,123.37,120.88,121.13,CL
20120229,121.04,122.01,119.42,121.65,CL
20120301,121.4,125.13,121.13,123.42,CL
20120302,123.33,123.61,120.38,121.28,CL
20120305,121.33,122.0,120.08,121.3,CL
20120306,121.69,121.92,119.09,119.28,CL
20120307,119.51,121.13,118.93,120.74,CL
20120308,120.82,121.78,120.42,121.16,CL
20120309,121.49,122.78,120.71,121.98,CL
20120312,122.08,122.14,119.96,120.92,CL
20120313,121.13,121.93,120.25,121.29,CL
20120314,121.27,121.6,119.7,120.01,CL
20120315,120.08,120.76,118.36,119.69,CL
20120316,120.02,121.92,119.71,121.64,CL
20120319,121.76,122.82,121.13,122.67,CL
20120320,122.4,122.49,119.93,120.19,CL
20120321,120.45,121.76,120.18,121.39,CL
20120322,120.93,121.24,118.62,119.47,CL
20120323,119.64,122.37,119.28,120.99,CL
20120326,120.91,121.44,120.31,121.15,CL
20120327,121.21,121.85,120.64,121.45,CL
20120328,120.93,121.06,118.79,119.53,CL
20120329,119.7,119.82,116.25,116.9,CL
20120330,117.41,118.27,116.9,117.14,CL
20120402,117.39,119.61,116.18,119.35,CL
20120403,119.16,119.3,117.71,118.13,CL
20120404,118.21,118.24,115.2,115.59,CL
20120405,116.08,117.52,115.49,117.43,CL
20120409,116.65,116.72,114.93,116.58,CL
20120410,116.45,117.08,114.8,115.14,CL
20120411,115.06,117.25,114.96,116.82,CL
20120412,116.67,118.36,116.51,117.76,CL
20120413,117.78,118.02,116.73,116.95,CL
20120416,116.92,117.49,115.92,117.05,CL
20120417,117.27,119.19,116.78,118.32,CL
20120418,118.34,118.63,116.31,116.79,CL
20120419,116.85,117.33,115.79,116.39,CL
20120420,116.69,118.39,116.57,117.17,CL
20120423,117.11,117.19,115.11,116.4,CL
20120424,116.4,117.39,116.08,116.84,CL
20120425,117.05,117.86,116.4,117.41,CL
20120426,117.25,118.21,117.13,117.84,CL
20120427,117.39,118.29,117.03,118.22,CL
20120430,118.22,118.45,117.17,118.16,CL
20120501,118.18,119.72,117.68,119.45,CL
20120502,119.27,119.34,118.2,118.51,CL
20120503,118.68,118.71,115.65,115.83,CL
20120504,115.88,116.01,110.8,111.78,CL
20120507,111.34,111.53,108.63,111.23,CL
20120508,111.25,111.41,108.81,110.3,CL
20120509,110.67,110.68,108.46,110.1,CL
20120510,109.74,110.98,109.37,110.37,CL
20120511,109.82,110.49,108.85,109.42,CL
20120514,109.08,109.12,106.94,108.07,CL
20120515,107.2,108.77,106.31,107.27,CL
20120516,106.45,107.45,105.1,106.1,CL
20120517,106.06,107.17,105.38,105.85,CL
20120518,106.15,106.17,104.22,104.77,CL
20120521,104.56,106.35,104.13,105.86,CL
20120522,105.93,106.3,104.68,104.95,CL
20120523,104.64,104.82,102.38,103.0,CL
20120524,103.63,104.62,102.91,103.76,CL
20120525,103.89,104.42,103.3,103.96,CL
